,"Twitter Query: lang:en -filter:retweets -filter:replies @inditexcreers OR @Bershka, OR @bershka_japan, OR @Bershka_ES OR @leftiesofficial OR @massimodutti OR @oysho OR @pullandbear OR @stradivarius OR @uterqueOfficial OR @ZARA, OR @ZARA_Care OR @zarahome",,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
02/02/2020 20:48,@Kannadanammamma,Proudkannadiga :,"Wedding Anniversary Shopping tour @ #H&M @marksandspencer and finally shopped at @ZARA : Formals and Party Wear. Majority of ""Made in Bangladesh"" merchandise at M&amp;S ! The 9 pcs I bought were made in Turkey Myanmar Vietnam China This is ""make in India"" ! Modi is disaster !",1224057073849098240,,https://pbs.twimg.com/media/EPy5WaZUwAELZzq.jpg,,0,2,Twitter for Android,686,578,3,,21/03/2018,"नई दिल्ली, भारत","A Proud son of Karnataka. Liberal, Progressive and extremely proud of rich Kannada culture. Definitely King Size hearted like most of true kannadigas",,,View
02/02/2020 20:32,@Beauty_Balm,Sandra,Really impressed with Jo Malone x @ZARA Emotions Perfume Collection. Picked up two - definitely will get more!,1224053018066407430,,https://pbs.twimg.com/media/EPy1p2rXUAIFvNY.jpg,,0,1,Twitter Web App,13856,3766,274,,10/07/2012,,Beauty and Lifestyle Blogger contact me: beautybalm1@virginmedia.com Beauty Shortlist Judge 2018/19/20,http://bbalm.blogspot.com,,View
02/02/2020 19:44,@idlaboha,Ihor Dlaboha,Retailer @ZARA declines to address Ukrainian customers in #Ukrainian. Only #Russian and #English spoken. Chain favors killers of #Ukrainians. Take business elsewhere. Boycott #Zara around the world. In metro #NYC area some 24 outlets. #StopRussianAggression,1224040942707052546,,,,1,0,Twitter Web App,479,464,72,,03/04/2009,New Jersey,"Journalist, foreign affairs blogger, The Torn Curtain 1991, foodservice blogger, ex-UN DPI/NGO staff member, NGO (nonprofit) expert, Outreach blogger",,,View
02/02/2020 19:27,@Crypt0H0lic,Mayor of Citadel 🧰 🌮 ⚡ 🔑,This is why I love @brave @BrendanEich .. @ZARA get your act together,1224036588411346949,,https://pbs.twimg.com/media/EPymyesXkAEfHBI.png,,0,2,Twitter Web App,121,427,7,,15/12/2009,#Citadel,"Crypto enthusiast, ₿itcoin evangelist, #LNTrustChain torch bearer!",,,View
02/02/2020 19:07,@ThePaulRev,Paul Rev 🇨🇴,I should've gotten more @ZARA hoodies ):,1224031667490377730,,,,0,0,Twitter for Android,211,158,1,,08/12/2017,"478, New York, USA",Based On A True Story 🎙🎹🎬 MGMT: PaulRevMusic@gmail.com @dreamville,https://fanlink.to/bV4w,,View
02/02/2020 18:17,@susuhersi,suad hersi,"Hi, i am having major issues accessing my zara account, and the change password option is not allowing me to change it @ZARA_Care plz help",1224019034078949377,,,,0,0,Twitter for iPhone,100,121,1,,05/12/2013,United Kingdom,.....,,,View
02/02/2020 17:57,@_Nicksy,Nicksy,".@ZARA you need to install customer WiFi in your Brent Cross store please, especially since you only use e-receipts. Can’t even get network connection in there. @ZARA_Care!!",1224013892822687744,,,,5,19,Twitter for iPhone,8703,676,85,,10/06/2010,London,lawyer + artist manager 💕,,,View
02/02/2020 17:09,@fscheps,Fernando Scheps,Hello @massimodutti what about an email address or an online form so one can contact you guys whenever we need to and customers dont have to schedule in their own agendas when you can be contacted?,1224001824031682569,,https://pbs.twimg.com/media/EPyHKvKWoAYftIv.jpg,,0,0,Twitter Web App,818,2015,96,,30/01/2009,Switzerland,"Argentino viviendo en 🇨🇭 apasionado por la tecnología y por ayudar a las personas. En esta cuenta escribo en español, through @fernandoscheps in English",http://www.itcentralpoint.com,,View
02/02/2020 16:40,@JanineGreenASB,Janine Green,Such an unpleasant shopping experience in @ZARA Birmingham. Too few staff and those who are working look (and act) like they'd rather be anywhere else.,1223994626861944834,,,,0,0,Twitter for Android,1656,1294,12,,15/03/2017,,ASB/Housing | SME @metpoliceuk | Property Tribunal | BBC Expert Woman | @ASBhelp Trustee | @WMPolice Ethics Committee | @transportgovuk IAP | Bar Tribunal,http://www.janinegreenasb.co.uk,,View
02/02/2020 16:17,@HandbagDivas,Handbag Divas,"From #Santorini to #Jakarta, here is the most fun #MotherDaughterSunday! #HandbagDivasLove #HBDMotherDaughterSundays #CoachCrossbody @ZARA @Coach @stradivarius #GroundhogDay #ReadyForSpring",1223988803209220097,,https://pbs.twimg.com/media/EPx7U5OXsAACnrP.jpg,,0,0,Twitter for iPhone,19,451,0,,07/01/2020,,Our mission is to help you find the perfect handbag that is YOUniquely you. #HandbagDivasLove,,,View
02/02/2020 16:13,@tomatonunu,effie 💙,my shirt finally came!! @OfficialMonstaX @ZARA,1223987769992761346,,https://pbs.twimg.com/media/EPx6Yc6WkAYOkUu.jpg,,0,0,Twitter for iPhone,300,444,0,,28/06/2011,🇿🇦 | fan account | ot7,the cheese to shownu's pizza,https://twitter.com/tomatonunu/status/1127978692385419265?s=21,,View
02/02/2020 15:10,@vivid_talks,VIVID TALKS,"89% of marketers claim brand awareness is their top goal. Here are some strategies from @LatanaBrand that you can implement to increase brand awareness. FT. @claudiandfin, @jcpenney, @ZARA, @repmgmt_com, @socialinsiderio and more!  #brand",1223971841846534144,https://buff.ly/2RY82uk,https://pbs.twimg.com/media/EPxr5z7WAAIc5FT.jpg,,0,0,Buffer,90,42,3,,06/02/2018,United Kingdom,"Global event series with themes such as marketing, social media, sales and lead generation.",https://www.eventbrite.com/e/how-to-generate-more-leads-for-small-medium-businesses-in-2019-tickets-,,View
02/02/2020 11:25,@GwiltPaul,Paul Gwilt,"Interesting visit to London this weekend. Noticed how rude some retail staff are. @zarahome regent st, @marksandspencer Euston, a taxi driver, @LondonPalladium not sure @SadiqKhan focus is right. Perhaps stop looking out- look in.",1223915321645584385,,,,0,0,Twitter for iPhone,184,397,8,,28/05/2015,"Stafford, England","Interested in: current affairs, classical history, Mary Beard, Renaissance art, travel and photography. Sapiophile, proud Salopian and opinionated.",,,View
02/02/2020 11:21,@AmandaMJBlake,Amanda Blake,Memories of a journey by @massimodutti,1223914384201863168,https://suitablystylish.wordpress.com/2020/02/01/massimo-dutti-womens-edit-memories-of-a-journey/,,,0,0,Twitter for Android,1002,710,172,,26/05/2009,London,Don't dream it. Be it. amandamjbphotography.wordpress com Instagram: AMANDAMJB,https://suitablystylish.wordpress.com/,,View
02/02/2020 10:55,@eleashalw,Eleasha,New mini @ZARA haul 💚 —>,1223907849404895237,https://eleashaoutfits.wordpress.com/2020/01/30/mini-zara-haul-3/,https://pbs.twimg.com/media/EPwxsdxX4AsRS5S.jpg,,0,1,Twitter for iPhone,252,260,0,,13/12/2015,,Instagram- eleashawilliams,https://eleashaoutfits.wordpress.com,,View
02/02/2020 10:07,@_antoroccuzzo_,Antonelaroccuzzo,"Antonela wore : - Earrings(1,090€) from @HRHJoaillerie - Turtleneck Sweater(19.95€) from @ZARA - Top Flap Bag(2,680€) from @CHANEL",1223895740247920640,,https://pbs.twimg.com/media/EPwmiYBX0AAC7tF.jpg,,0,1,Twitter for Android,172,12,0,,11/09/2019,,Antonela Roccuzzo Fan and Closet page💕 | Follow for the latest posts and for her outfits details | IG : anto.closet,,,View
02/02/2020 08:38,@OyeAhsan,Ahsan,Things that make me smile. #MadeInPakistan @Bershka,1223873289405304832,,https://pbs.twimg.com/media/EPwSQqlXsAE9EfS.jpg,,1,22,Twitter for iPhone,1052,289,12,,02/04/2011,"دبي, الامارات العربية المتحدة",it's ok if you don't like me.Not everyone has good taste. Edwardian #Humour #history #politics & #culture. #Peace,,,View
02/02/2020 08:12,@freyafarrington,Freya Farrington,HUGE ZARA HAUL FEBRUARY 2020 * NEW IN * | TRY ON FASHION & ZARA HOME HOM...  via @YouTube @ZARA @zarahome #zara #zarahome #zarahaul,1223866761281523713,https://youtu.be/VOk-NB3Pr3Q,https://pbs.twimg.com/media/EPwMVCrXsAMcKpz.jpg,,0,1,Twitter for iPhone,2216,206,35,,09/05/2015,"Manchester, England","A Fashion, Beauty & Lifestyle Blog // Monochrome and Minimal // Snapchat @freyafarrington // https://www.youtube.com/c/FreyaFarrington",http://www.freyafarrington.com,,View
02/02/2020 07:05,@Victoria_Secret,Victoria Secret,Love @ZARA bags but their zips 🙈. Bits of me shall be falling all over Dublin Airport in a minute 😬,1223849896438128640,,,,0,6,Twitter for iPhone,13212,1026,57,✅,30/04/2009,"Dublin, Ireland",Ireland's tallest woman strutting around in sparkly size 12's. Promoter: #DraggedUp. Catch me on street corners & venues all over victoriasecretdublin@gmail.com,http://www.draggedup.net,,View
02/02/2020 07:04,@TemmyZarah,TZTL💖,I am having withdrawal symptoms I miss @ZARA 🤦🏾‍♀️,1223849527662338049,,,,0,2,Twitter for iPhone,466,256,4,,07/01/2015,,2nd page @TheNameOfGod4,,,View
02/02/2020 05:58,@MeghansMirror,Meghans Mirror,"When #MeghanMarkle shared her thoughts on the TIG with American designer @ToryBurch, she paired the designer’s coat with a great pair of @Zara black ballerina-style flats. #MMStyleArchives",1223832950992711681,http://bit.ly/2I7dKXd,https://pbs.twimg.com/media/EPvtlVcWkAAyht1.jpg,,0,22,CoSchedule,17072,651,108,,07/12/2016,International,"Chronicling the polished style of the Duchess of Sussex, #MeghanMarkle. World's leading site to identify and #MirrorMeg Meghan's classic style. @EffieMedia Blog",http://www.meghansmirror.com/welcome-to-meghans-mirror/,,View
02/02/2020 04:33,@Woodwould21,Jamie Wood,I’m trying to get in good enough shape to fit @ZARA again! #Goals,1223811615386144768,,,,0,2,Twitter for iPhone,7412,1506,92,,10/02/2010,"Columbus, Ohio. United States",Living On Purpose||Buckeye Alum||Let all that you do be done in love. 1 Corinthians 16:14 #PurposedToLove,http://www.facebook.com/jwood23osu,,View
02/02/2020 03:54,@packer1265,packer1265,So @ZARA please help. #Chicago #MichiganAve,1223801908814589953,,https://pbs.twimg.com/media/EPvRWGpX4AA9JhT.jpg,,0,4,Twitter for iPhone,185,859,2,,26/06/2011,,"part time vagabond, full time snacker",,,View
02/02/2020 02:16,@Doxter_S,Doxter S,Reposting @toffee4108: @zara #limitededition #pinupgirl #nautical #rock courtesy of @little_annie_30,1223777079365382145,,https://pbs.twimg.com/media/EPu6xLCWkAEynZW.jpg,,0,0,Crowdfire App,204,98,17,,12/06/2012,"McLean, Virginia, USA","Doxter S is a Singer-Songwriter who has been creating, recording, producing, and performing original and award winning popular music since 2012. More than 50!",,,View
02/02/2020 01:06,@Masuma17a,Masuma.,If there’s anything consistent with @ZARA. It’s their shitty rude staff from management through to customer advisors.,1223759461212413965,,,,0,0,Twitter for iPhone,142,185,1,,25/09/2011,United Kingdom,,,,View
02/02/2020 01:03,@kazsabina_,sabina,New @Bershka collection is 100000/10 Coming through with the ultimate primary school netball throwbacks with the skorts,1223758684121116673,,,,0,1,Twitter for iPhone,1111,893,14,,12/03/2011,"Sittingbourne, Kent","i love brown sauce, take photos & talk about music a lot email: kazsabina@icloud.com",,,View
02/02/2020 01:02,@Marc_Storrie,Marc Storrie,Also picked up this cute outfit today! @ZARA delivering the goods!!,1223758500096102400,,https://pbs.twimg.com/media/EPup3eRX0AYk_gN.jpg,,0,2,Twitter for iPhone,588,856,4,,23/12/2009,"London, England",The Urdang Academy @BSATalent,http://www.spotlight.com/3011-7832-4305,,View
02/02/2020 00:57,@micabot,Mica,I feel like my daughter can be a @ZARA baby clothing model.,1223757402022891520,,,,0,0,Twitter for iPhone,252,1708,12,,14/01/2011,LA🛬SF,"Design Manager. Back to the Future. WWDITS. LA✈️SF. LA Clippers, Boba Guys, Moscow Mules, Fried Chicken and Waffles. 🏁 My views + stuff...",,,View
02/02/2020 00:33,@iamlhop,L. Hop,"One of my favorite pastimes is going through shopping apps like @ShopStyle, @ZARA, and @SHEIN_official and favoriting everything I want but probably won’t buy lol",1223751213310627841,,,,0,0,Twitter for iPhone,444,184,25,,08/09/2009,"Los Angeles, CA","Christian | Mother | Researcher, Writer | Reality TV Aficionado",http://www.grabyourlight.com,,View
02/02/2020 00:13,@AlvaSharon,Alva Sharon ♥️,"I love @ZARA’s shoes/boots & apparel and have been purchasing in store &amp; online since they came to Toronto, but had the worst retail experience today at d Eaton Centre..super rude cashier..didn’t mind d mess coz of their sale event but d customer service is just terrible!!",1223746099745296389,,,,1,5,Twitter for iPhone,753,177,1,,07/04/2012,"Ontario, Canada","AshRald💙 #ElmoMagalona 🌟 We are humans..imperfect.. But, we have a perfect God, who can make ALL things happen..Have Faith & Obey! ♥️",,,View
01/02/2020 23:45,@suen_tak,Suen,"When I was leaving the fitting room in @Zara today, an assistant asked me if I hided any hangers. She also explained that ‘hanger’ is the one inside the clothes, in case I don’t know what ‘hanger’ means. Is there any specific reason of asking that rude question to the customers?",1223739275092643840,,,,0,0,Twitter for iPhone,8,65,0,,13/03/2014,United States,,,,View
01/02/2020 23:29,@justjosaphine,forever topless,The size guide for @Zara is fucking brilliant! It tells you the percentage of people who returned that size after a few quick questions about your weight distribution & size.,1223735199021723649,,,,0,0,Twitter for Android,69,155,0,,03/01/2013,,,http://Instagram.com/justjosieee/,,View
01/02/2020 23:28,@s4na__,Sana,Why did my tweet about @pullandbear get removed??? - what kind of policy is no hoodies allowed in store?? 😂,1223734963960471552,,,,0,0,Twitter for iPhone,11,41,0,,21/07/2014,,,,,View
01/02/2020 21:23,@Mymochilife,💜Mymochilife💜,🇺🇸 love this outfit ! 🥰 ▪️ ▪️ 🇫🇷 J'aime trop cet ensemble 😍 ▪️ ▪️ ▪️ ▪️ Jacket/strapless bra : @undizfamily Pants : @zara ▪️ ▪️ ▪️ #flexikei #lifestyle #makeup #mua #fashion #photography #selfie #advancedselfie #undizfamily,1223703403823554560,https://ift.tt/2GH7Jin,https://pbs.twimg.com/media/EPt3wunXUAEM_Bk.jpg,,0,0,IFTTT,68,117,11,,30/07/2015,France,this account is so random so stick around if you love BTS or MAKEUP or anything really 😝,https://www.facebook.com/Mymochilife/,,View
01/02/2020 20:57,@dougmorton,Doug,Well that was helpful @ZARA_Care,1223696849585963008,,https://pbs.twimg.com/media/EPtxy_qWsAUeb9m.jpg,,0,1,Twitter for iPhone,1030,86,60,,12/09/2009,🇪🇺,,http://Instagram.com/dougmorton,,View
01/02/2020 20:36,@Fateema41759417,Fateema,Why is everything so freaking expensive now?? @ZARA a hoodie for over 100?????? Rhamona,1223691521683226624,,,,0,1,Twitter for Android,15,142,0,,02/01/2020,,Advertising student/19,,,View
01/02/2020 20:15,@JustMeT8,"Just Me, T","(Rose) Gold Baby / Solid (rose) gold✌ Perfume @ZARA Hoop earrings @LovisaJewellery Lipstick @essence_ZA Just Me, T xoxo",1223686396508016648,https://twitter.com/JustMeT8/status/1223672761492692992/photo/1,https://pbs.twimg.com/media/EPtoR_eWAAAGWVD.jpg,,0,0,Twitter for Android,37,181,0,,17/07/2018,,"Blogger Diary of everything that makes me #JustMeT ... which means I'm pretty normal, you'll see. Justmetblog@gmail.com",,,View
01/02/2020 20:10,@CherryHillMall,Cherry Hill Mall,"Shopping is always more fun with a friend which is why we want you to head over to our Instagram page to give you and a pal a chance to win the ultimate #PalentinesDay GRAND PRIZE, complete with @Zara gift cards! See our Instagram bio for complete details:",1223684953675829250,https://bit.ly/2GJkYz8,https://pbs.twimg.com/media/EPtm-nwW4AILYZ8.jpg,,0,1,Sprout Social,2788,470,37,,24/11/2010,"Cherry Hill, NJ","Cherry Hill Mall is South Jersey's Fashion Destination. Nordstrom, Macy's and JCPenney, plus over 165 stores & restaurants. #cherryhillmall",http://cherryhillmall.com,,View
01/02/2020 20:07,@cheekygirlie,ali mcgee,"Very successful shopping trip with the bestie, new jacket thanks to @ZARA it’s beautiful, I love it! 😃 I may even sleep in it 😆",1223684335364116481,,,,0,0,Twitter for iPhone,527,492,23,,05/02/2009,"Surbiton, Uk",Lover of wine and everything fine 😎,,,View
01/02/2020 19:22,@Jaw47548379,Judee Ann,Dear @ZARA I love shopping in your store but not the hour long wait to purchase/return anything. Blah,1223673016116305921,,,,0,1,Twitter for iPhone,2,24,0,,14/01/2020,"Washington, DC","Co-Head, Creative Artists Agency (CAA), Social Impact",,,View
01/02/2020 18:27,@imupolo,Nacho Urreta,"Hey @ZARA_Care I have always been a costumer of Zara when it comes to purchasing jeans, but I will have to look for a different brand since it looks like they all get damage on the exact same spot over and over",1223659027865001984,,https://pbs.twimg.com/media/EPtPY4kWkAAxXdc.jpg,,0,0,Twitter for iPhone,10,59,0,,23/01/2015,,,,,View
01/02/2020 18:20,@LorenaPozoTrans,Lorena Pozo,Hey @zarahome. What are your linen curtains made of? Tissue paper?,1223657369256767489,,https://pbs.twimg.com/media/EPtN3onXUAE5FtI.jpg,,0,0,Twitter for iPhone,35,428,1,,27/01/2016,,,,,View
01/02/2020 17:30,@luv4kookie,black swan⁷,I just saw BT21 in @Bershka 🥺 #BTS #BT21,1223644817277759492,,,,0,2,Twitter for Android,1273,1246,6,,22/11/2019,hopeworld,"OT7 💜🦄 shine, dream, smile",,,View
01/02/2020 17:14,@kikicupcake89,Katy Parr,I might be 30 but I’m totally in love with my 101 dalmations jumper @ZARA #101dalmations,1223640780771905536,,https://pbs.twimg.com/media/EPs-yywW4AESAA5.jpg,,0,5,Twitter for iPhone,490,1333,8,,17/08/2011,cardiff,"criminology degree owning, bay living, tea drinking, hard working, foodie loving, friend hugging, 20 something year old.",,,View
01/02/2020 16:46,@traceyowen2912,Tracey A Owen,"Just had car broken into in @ncpcarparks near @ManchesterMal Manchester, so if you see someone head to toe in leopard print, that’s my feckin favourite @ZARA dress, and my favourite @thisiswhistles leather jacket you absolute t##t",1223633801450008578,,,,0,0,Twitter for iPhone,147,498,4,,09/10/2011,,,,,View
01/02/2020 16:39,@NatalieTait,Natalie Tait,And the disappointing customer service continues @ZARA_Care,1223631909600792577,,,,0,0,Twitter for iPhone,287,325,10,,29/04/2009,UK,Writer | Blogger | Foodie | Fashion junkie | Lover of peanut butter | thewondertonic@gmail.com,http://www.thewondertonic.com,,View
01/02/2020 16:37,@amandaly5,amandaly5,"I've been faced a terrible situation on zara shop in Riyadh, KSA, 7 months ago without any care to solve it except that @ZARA_Care calm me with many promising but nothing happened till now, hopefully solve it on 2030 😏🤨 I will tweet again and again till they take an action",1223631565420421120,,,,1,0,Twitter for Android,44,593,1,,28/06/2011,,,,,View
01/02/2020 16:00,@Abihump,Abigail Cunningham,"Wow! Just tried to exchange my daughters christmas present (bought in December) as too small and told my receipt ""expired"" on 8th Jan (when we were away fror Christmas). Shameful policy @ZARA last time I shop for kids/gifts there!",1223622085781659648,,,,1,0,Twitter for Android,84,422,3,,05/02/2011,London,,,,View
01/02/2020 15:10,@JussiRoine,Jussi Roine,"Hey @samilaiho, we need you to fix this at @ZARA in #Helsinki! #BSOD",1223609482019770368,,https://pbs.twimg.com/media/EPsiU-nX4AIWyb3.jpg,,2,23,Twitter for Android,4249,1333,266,,15/05/2009,"Helsinki, Finland",Azure Developer Audience Product Marketing Manager at Microsoft | Author & Speaker | @CtrlAltAzure Podcast Co-Host | ex-Microsoft MVP & RD,https://jussiroine.com/,,View
01/02/2020 15:00,@thecreativegeek,CJ Ware LRPS - TheCreativeGeek,Today’s outfit featuring clothes from @ZARA & @drmartens also rocking my snake walking stick because ya know #Disabled and styling it out 😋,1223607105464172552,,https://pbs.twimg.com/media/EPsgLFXWoAIBqyf.jpg,,1,1,Twitter for iPhone,5326,2630,237,,06/06/2008,"England, United Kingdom",#Photographer/#Fashion Lover/#Vlogger/#Blogger/#Podcaster With #Autism Licentiate @the_rps / Brand Ambassador For @GBPhotoaward PR: hello@thecreativegeek.co.uk,http://home.thecreativegeek.co.uk/,,View
01/02/2020 13:15,@DeileTurnbull,Deile Purvis,Barneys new cost from @ZARA and the zip is broken 😢 hasn’t even worn it yet!,1223580598872281088,,https://pbs.twimg.com/media/EPsIECRXsAYNqQZ.jpg,,0,1,Twitter for iPhone,290,220,1,,01/04/2009,"Newcastle, UK ","Small, short, petite, little, wee, pocket size!",,,View
01/02/2020 12:53,@iridescentplace,Iridescentplaces,New #blog post! My Monthly Favourites: January ft @ColourPopCo @TooFaced @MACcosmetics @ZARA & @NYXCosmetics_UK :  💕 #beautyblogger #beautyblog,1223574978857259018,http://bit.ly/2t8ndIS,https://pbs.twimg.com/media/EPsC8bVX0AA3ehy.jpg,,0,0,Twitter for iPhone,1480,816,42,,22/08/2015,"London, England",Caroline 💋 • Beauty & Cat Obsessed Blogger • iridescentplaces@gmail.com ✉️,http://www.iridescentplaces.com,,View
01/02/2020 12:32,@JoeCMerriman,Joe Merriman,Have you considered recruiting more team members in your Watford store @ZARA 🤷🏻‍♂️,1223569879284047873,,,,0,0,Twitter for iPhone,1253,376,1,,19/11/2013,London • Rickmansworth,Shaping the #FutureOfMobility @RCIBS subsidiary of @Groupe_Renault 🚗 • #WeAreRenault 🇫🇷 • #ElectricVehicles ⚡️• #FinTech 💳 • All views my own 🙋🏻‍♂️,http://www.insidefintechs.com,,View
01/02/2020 12:29,@_toluubabyyy,a nice person,Can someone that works in @ZARA please confirm WHY IT TAKES SO LONG TO GET ITEMS OUT OF THE STOCK ROOM?!!!!??,1223569049529044992,,,,0,0,Twitter for iPhone,328,293,0,,21/03/2017,Leicester,Future Chartered Accountant LEI/LDN YT:TEETIMESTWO⭐️ SUMMER BABY 🍼 AUG 28th 🎉,https://youtu.be/gyL_ZqKg-pE,,View
01/02/2020 11:37,@Charlote_Birch,Charlotte Birch ✨,don’t think there’s anything better than waking up to a @ZARA delivery 😍,1223555971676540928,,,,0,0,Twitter for iPhone,511,515,1,,25/02/2011,,Isle of Man,,,View
01/02/2020 11:23,@jodieb01,Jodie B,"Absolutely disgusting ‘customer service’ @ZARA_Care @ZARA finally had a call after trying many forms of contact, aggressive CSA refusing to send photos of unworn item I returned telling me it had marks on and telling me I wasn’t allowed to dispute it. Sent back to me screwed up!",1223552471458549760,,,,0,1,Twitter Web App,18,74,0,,25/10/2010,"England, United Kingdom",Birmingham,,,👤
01/02/2020 09:36,@Bede04871471,-,I paid more than price label because of website’s mistake and no one care about that!! I just DM you please check it out @ZARA_Care,1223525457699713024,,,,0,0,Twitter Web App,0,52,0,,09/12/2019,,,,,👤
01/02/2020 08:59,@_AssemblyLine,Diane Cunningham,The impact of delivery + returns on online retail. @nextofficial ft w/ their approach to encouraging rtns to store to inc sales opps. Potential for tech to improve as @ZARA + others roll out tools for better idea of fit + style  #retail #onlineretail,1223516320672768000,https://www.thetimes.co.uk/article/serial-returners-give-fashion-retailers-an-online-headache-x33zd676r,,,0,2,Twitter for Android,1115,2958,46,,14/10/2011,UK,"Consultancy, project mgt, engagement + marketing strategy for high streets + places. Advisor to @MayorofLondon on #streetmarkets. Studying MSc @placemanagement",http://www.theassemblyline.co,,View
